annee;siret;siren;nom_commune;code_insee;depenses_culturelles_totales_keur;depenses_culturelles_fonctionnement_keur;depenses_culturelles_investissement_keur;depenses_culturelles_totales_euros_par_habitant;depenses_culturelles_fonctionnement_euros_par_habitant;depenses_culturelles_investissement_euros_par_habitant;depenses_culturelles_totales_pct;depenses_culturelles_fonctionnement_pct;depenses_culturelles_investissement_pct;population_2023
2023;21971109000015;219711090;00000;97109;529;104;425;68;13;55;0,045;0,01;0,433;7748
2023;21460127000017;214601270;00000;46127;522;431;91;128;105;22;0,104;0,097;0,157;4086
2023;21560066900018;215600669;00000;56066;331;112;219;84;28;56;0,061;0,029;0,142;3935
2023;21760312500014;217603125;00000;76312;375;372;3;61;61;1;0,036;0,047;0,001;6120
2023;21930033200018;219300332;00000;93033;325;253;72;47;37;11;0,02;0,025;0,011;6876
2023;21950280400012;219502804;00000;95280;2335;1977;358;75;64;12;0,041;0,044;0,031;31052
2023;21600279000014;216002790;00000;60282;359;340;19;38;36;2;0,033;0,044;0,006;9332
2023;21350123200010;213501232;00000;35123;326;248;77;74;56;18;0,08;0,081;0,077;4410
2023;21971114000018;219711140;00000;97114;112;112;0;14;14;0;0,01;0,016;0;7778
2023;21340116900072;213401169;00000;34116;270;221;50;30;25;6;0,024;0,027;0,017;8981
2023;21330192200018;213301922;00000;33192;1746;1675;71;67;64;3;0,046;0,053;0,011;26208
2023;21460128800068;214601288;00000;46128;114;69;45;32;20;13;0,031;0,022;0,088;3539
2023;20005814700014;200058147;00000;27105;107;83;24;26;20;6;0,028;0,03;0,022;4117
2023;20008457200011;200084572;00000;73003;5;5;0;1;1;0;0,001;0,002;0;3927
2023;21971112400012;219711124;00000;97112;374;374;0;77;77;0;0,04;0,042;0;4874
2023;21560067700011;215600677;00000;56067;543;482;61;94;84;11;0,063;0,071;0,033;5754
2023;21440066500011;214400665;00000;44066;185;182;3;28;27;0;0,019;0,027;0,001;6723
2023;21250284300015;212502843;00000;25284;259;258;1;44;44;0;0,037;0,054;0;5922
2023;21760319000018;217603190;00000;76319;2188;2187;2;221;221;0;0,109;0,117;0,001;9912
2023;21590271900016;215902719;00000;59271;5697;5446;250;273;261;12;0,079;0,087;0,026;20840
2023;21590272700019;215902727;00000;59272;277;277;0;54;54;0;0,056;0,059;0;5103
2023;21973357300014;219733573;00000;97357;0;0;0;0;0;0;0;0;0;8865
2023;21130044700011;211300447;00000;13044;1272;0;1272;241;0;241;0,086;0;0,243;5286
2023;21500218900011;215002189;00000;50218;2981;2408;573;225;182;43;0,114;0,117;0,105;13230
2023;21060069800018;210600698;00000;06069;6560;6085;475;132;123;10;0,086;0,1;0,031;49607
2023;21310230400010;213102304;00000;31230;105;105;0;23;23;0;0,019;0,023;0;4583
2023;21810105300013;218101053;00000;81105;1489;1360;129;113;103;10;0,115;0,118;0,092;13153
2023;21590273500012;215902735;00000;59273;5344;5086;258;478;455;23;0,088;0,099;0,029;11175
2023;21130045400017;211300454;00000;13045;76;76;0;16;16;0;0,009;0,012;0;4929
2023;21270299700074;212702997;00000;27299;40;36;4;10;9;1;0,01;0,012;0,003;4097
2023;21700279900153;217002799;00000;70279;826;664;161;138;111;27;0,09;0,115;0,048;5980
2023;21130046200010;211300462;00000;13046;245;242;2;56;56;1;0,037;0,061;0,001;4361
2023;21310232000016;213102320;00000;31232;366;343;23;41;38;3;0,031;0,035;0,01;9016
2023;21620386900013;216203869;00000;62386;1126;1108;18;166;164;3;0,11;0,115;0,032;6778
2023;21380185500015;213801855;00000;38185;50567;48365;2202;315;301;14;0,161;0,185;0,041;160483
2023;21730128200018;217301282;00000;73128;133;124;8;28;26;2;0,024;0,034;0,004;4701
2023;21770215800015;217702158;00000;77215;264;223;41;31;26;5;0,021;0,023;0,014;8525
2023;21690094400010;216900944;00000;69094;248;193;55;40;31;9;0,046;0,056;0,028;6144
2023;21910286000018;219102860;00000;91286;3296;2997;299;119;108;11;0,057;0,061;0,035;27655
2023;21690096900017;216900969;00000;69096;740;705;35;75;72;4;0,045;0,067;0,006;9814
2023;21830068900013;218300689;00000;83068;232;149;83;50;32;18;0,015;0,012;0,028;4671
2023;21820075600011;218200756;00000;82075;166;123;43;39;29;10;0,032;0,03;0,039;4268
2023;21740137100018;217401371;00000;74137;0;0;0;0;0;0;0;0;0;4092
2023;21950288700017;219502887;00000;95288;122;122;0;14;14;0;0,011;0,016;0;8519
2023;21972212100015;219722121;00000;97212;75;75;0;8;8;0;0,005;0,005;0;9822
2023;21110170400016;211101704;00000;11170;887;844;43;170;162;8;0,045;0,058;0,008;5215
2023;21680112600014;216801126;00000;68112;2103;1149;955;186;102;85;0,144;0,115;0,205;11281
2023;21440067300015;214400673;00000;44067;166;162;3;31;31;1;0,024;0,033;0,002;5322
2023;21570269700016;215702697;00000;57269;321;304;18;42;40;2;0,043;0,048;0,014;7661
2023;21560075000016;215600750;00000;56075;409;299;110;64;47;17;0,057;0,053;0,069;6378
2023;21440069900143;214400699;00000;44069;2564;2208;356;154;133;22;0,107;0,113;0,081;16612
2023;21230960300018;212309603;00000;23096;2826;1633;1193;212;123;90;0,137;0,1;0,273;13327
2023;21590276800062;215902768;00000;59276;324;324;0;69;69;0;0,063;0,075;0;4695
2023;21710230000019;217102300;00000;71230;811;802;9;118;117;1;0,065;0,069;0,011;6862
2023;21350126500010;213501265;00000;35126;147;139;8;16;16;1;0,012;0,015;0,003;8968
2023;21560078400015;215600784;00000;56078;911;783;129;76;65;11;0,064;0,083;0,027;12037
2023;21350127300014;213501273;00000;35127;212;168;44;51;41;11;0,059;0,054;0,089;4120
2023;21770222400015;217702224;00000;77222;213;2;211;49;0;48;0,055;0,001;0,334;4373
2023;21290069000018;212900690;00000;29069;512;415;97;62;50;12;0,081;0,078;0,093;8265
2023;21070102500160;210701025;00000;07102;883;852;31;79;76;3;0,063;0,072;0,014;11154
2023;21620397600016;216203976;00000;62397;398;392;7;70;69;1;0,068;0,076;0,01;5654
2023;21220070300016;212200703;00000;22070;945;860;85;123;112;11;0,071;0,097;0,019;7682
2023;21290075700015;212900757;00000;29075;1531;1314;217;98;84;14;0,081;0,114;0,03;15573
2023;20005486400018;200054864;00000;35176;549;338;211;75;46;29;0,064;0,058;0,077;7323
2023;21020342800011;210203428;00000;02361;816;204;612;176;44;132;0,133;0,043;0,42;4628
2023;21330199700010;213301997;00000;33199;6727;691;6036;299;31;268;0,181;0,03;0,43;22485
2023;21670176300015;216701763;00000;67176;45;45;0;12;12;0;0,011;0,019;0;3821
2023;21780297400014;217802974;00000;78297;2679;2324;355;90;78;12;0,051;0,052;0,045;29760
2023;21680118300015;216801183;00000;68118;0;0;0;0;0;0;0;0;0;5142
2023;21400119000013;214001190;00000;40119;12;12;0;3;3;0;0,002;0,002;0;4739
2023;21570283800016;215702838;00000;57283;1461;1403;58;155;149;6;0,077;0,112;0,009;9437
